,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
2437,001420,태원물산,KOSPI,,3430,2,-10,-0.29,3540,3540,3295,3226,10846020,26068000000,7600000,STK,자동차 신품 부품 제조업,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입",1975-06-24,12월,남기영,http://www.twms.co.kr,서울특별시
2438,377460,위니아에이드,KOSDAQ,투자주의환기종목(소속부없음),1691,0,0,0.0,0,0,0,0,0,26030247855,15393405,KSQ,상품 종합 도매업,"전자제품 소매, 물류주선, 서비스대행",2022-06-23,12월,김희웅,http://www.winiaaid.com,광주광역시
2439,244460,올리패스,KOSDAQ,관리종목(소속부없음),6450,1,30,0.47,6700,6740,6200,80342,520234240,25987520850,4029073,KSQ,기초 의약물질 제조업,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발,2019-09-20,12월,"정신, 손형석, 이진한 (각자 대표이사)",http://www.olipass.com,경기도
2440,039310,세중,KOSDAQ,중견기업부,1431,2,-22,-1.51,1442,1450,1390,29823,41953750,25932105477,18121667,KSQ,소프트웨어 개발 및 공급업,여행,2000-06-09,12월,"천신일,김기백",http://www.sejoong.com,서울특별시
2441,003495,대한항공우,KOSPI,,23300,2,-700,-2.92,23700,24100,23050,3233,76016950,25881500200,1110794,STK,,,,,,,
2442,221840,하이즈항공,KOSDAQ,중견기업부,1383,2,-58,-4.02,1483,1483,1364,23586,32875580,25862875863,18700561,KSQ,"항공기,우주선 및 부품 제조업",B787 날개구조물 등,2015-11-25,12월,하상헌,http://www.hizeaero.com,경상남도
2443,002690,동일제강,KOSPI,,1273,2,-27,-2.08,1296,1302,1271,4573,5849434,25842358280,20300360,STK,1차 철강 제조업,"PC강연선, 경강선, 도금선, 마봉강",2015-09-24,12월,"민세홍, 양영석, 김우진 (각자대표)",http://www.dongil-steel.com,경기도
2444,368970,오에스피,KOSDAQ,벤처기업부,2765,2,-15,-0.54,2755,2780,2620,52581,142890105,25842132400,9346160,KSQ,동물용 사료 및 조제식품 제조업,프리미엄 반려동물 사료,2022-10-14,12월,강재구,,충청남도
2445,008600,윌비스,KOSPI,,382,2,-17,-4.26,395,404,376,272606,105451453,25684166898,67236039,STK,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",1989-07-28,12월,"임찬혁(대표집행임원), 송주호(대표집행임원)",http://www.willbes.com,충청남도
2446,019685,대교우B,KOSPI,,1322,1,3,0.23,1300,1345,1274,8596,11336861,25682480780,19426990,STK,,,,,,,
2447,193250,링크드,KOSDAQ,중견기업부,405,1,7,1.76,401,460,401,629312,265724611,25645967685,63323377,KSQ,전자부품 제조업,휴대폰용 진동모터,2014-12-29,12월,민용재,http://linkedseoul.com,서울특별시
2448,025560,미래산업,KOSPI,,822,2,-195,-19.17,809,843,803,5534418,4576423902,25619163030,31166865,STK,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",1996-11-22,12월,이창재,http://www.mirae.co.kr,충청남도
2449,331920,셀레믹스,KOSDAQ,기술성장기업부,3130,2,-180,-5.44,3310,3310,3070,75151,235350835,25553783240,8164148,KSQ,기초 의약물질 제조업,타겟캡처키트,2020-08-21,12월,"김효기, 이용훈",http://www.celemics.com/,서울특별시
2450,025870,신라에스지,KOSDAQ,중견기업부,6370,1,240,3.92,5720,6920,5720,217323,1399664010,25480000000,4000000,KSQ,음·식료품 및 담배 도매업,수산물도매,1995-07-07,12월,권기서,http://www.sisfood.co.kr,서울특별시
2451,091970,나노캠텍,KOSDAQ,중견기업부,680,2,-20,-2.86,700,700,646,123861,82924545,25443895240,37417493,KSQ,플라스틱제품 제조업,투명전도성관련제품,2007-01-30,12월,신해용,http://www.nanosbiz.com,경기도
2452,067730,로지시스,KOSDAQ,중견기업부,2630,2,-80,-2.95,2710,2710,2450,47058,122464640,25442414860,9673922,KSQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리",2015-07-29,12월,이호성,http://www.logisys.co.kr,서울특별시
2453,312610,에이에프더블류,KOSDAQ,중견기업부,1255,2,-85,-6.34,1327,1362,1224,17401,21994126,25422394440,20256888,KSQ,일차전지 및 이차전지 제조업,음극마찰용접단자,2019-07-01,12월,김명훈,http://www.asanfw.com,경상북도
2454,060900,DGP,KOSDAQ,중견기업부,1005,2,-1,-0.1,1006,1049,979,69860,69692593,25384520145,25258229,KSQ,전기업,풍력 및 태양광 발전업,2002-09-17,12월,오경원,http://www.daehangreenpower.com,전라남도
2455,018620,우진비앤지,KOSDAQ,중견기업부,876,2,-39,-4.26,909,913,869,180024,159313479,25307020668,28889293,KSQ,의약품 제조업,"슈퍼티아, 안티펜SM",2008-05-20,12월,"강석진, 강재구(각자대표)",http://www.woogenebng.com,경기도
2456,083470,이엠앤아이,KOSDAQ,중견기업부,1183,2,-17,-1.42,1188,1200,1123,80847,93188526,25245609207,21340329,KSQ,기초 화학물질 제조업,OLED 유무기 소재 개발 및 판매,2008-09-18,12월,대표이사 고창훈,http://emni.co.kr,경기도
2457,464680,KB제27호스팩,KOSDAQ,SPAC(소속부없음),1956,2,-11,-0.56,1980,1980,1953,54470,106797553,25242180000,12905000,KSQ,금융 지원 서비스업,기업인수합병,2023-11-03,12월,이태영,,서울특별시
2458,060380,동양에스텍,KOSDAQ,우량기업부,1281,2,-54,-4.04,1300,1328,1277,46230,59930108,25235700000,19700000,KSQ,1차 철강 제조업,"열연박판, 열연후판, 무늬강판",2002-02-05,12월,조남욱,http://www.dystec.co.kr,대전광역시
2459,115530,씨엔플러스,KOSDAQ,중견기업부,371,3,0,0.0,371,376,366,96646,35787091,25214273000,67963000,KSQ,전자부품 제조업,커넥터,2011-11-02,12월,정상옥,http://www.icnplus.com,경기도
2460,208350,지란지교시큐리티,KOSDAQ,벤처기업부,2850,1,25,0.88,2825,2900,2760,20557,57555055,25189864650,8838549,KSQ,소프트웨어 개발 및 공급업,보안 소프트웨어,2014-12-24,12월,조원희(단독대표),http://www.jiransecurity.com,경기도
2461,080470,성창오토텍,KOSDAQ,중견기업부,3450,2,-80,-2.27,3520,3520,3365,7748,26682965,25185000000,7300000,KSQ,자동차 신품 부품 제조업,"차량용 에어컨필터, 차량용인버터 등",2006-11-03,12월,"이병진,고빅터건민(KOH VICTOR GUNMIN) 각자대표이사",http://www.sc-autotech.com,경기도
2462,045300,성우테크론,KOSDAQ,중견기업부,2480,1,30,1.22,2430,2480,2420,18240,44682435,25175925840,10151583,KSQ,전자부품 제조업,"리드프레임,반도체검사장비",2001-12-18,12월,박찬홍,http://www.swmv.co.kr,경상남도
2463,215380,우정바이오,KOSDAQ,벤처기업부,1582,2,-35,-2.16,1617,1625,1504,119091,185895171,25121489232,15879576,KSQ,자연과학 및 공학 연구개발업,"동물실험,CRO서비스,사육장비,세척장비등",2015-05-18,12월,천병년,http://www.woojungbio.kr,경기도
2464,297570,알로이스,KOSDAQ,벤처기업부,724,2,-7,-0.96,731,738,704,172081,124564332,25065761832,34621218,KSQ,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스,2018-07-20,12월,권충식,http://www.aloys.co.kr,경기도
2465,012340,뉴인텍,KOSDAQ,벤처기업부,492,2,-3,-0.61,498,500,484,101197,50053708,25046323704,50907162,KSQ,자동차 신품 부품 제조업,콘덴서,1997-02-12,12월,장기수,http://www.nuin.co.kr,충청남도
2466,092600,앤씨앤,KOSDAQ,벤처기업부,994,2,-36,-3.5,1025,1033,988,71246,71500240,24933015898,25083517,KSQ,반도체 제조업,차량용 블랙박스 / 영상처리용 시스템반도체,2007-06-26,12월,최종현,http://nc-and.com,경기도
2467,065060,지엔코,KOSDAQ,중견기업부,229,2,-3,-1.29,232,232,224,85878,19570276,24733842076,108008044,KSQ,봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",2002-05-28,12월,김석주 장지혁 (각자대표이사),"http://www.gnco.co.kr,www.thursdayisland.com",서울특별시
2468,179530,애드바이오텍,KOSDAQ,기술성장기업부,2690,1,60,2.28,2600,2700,2545,22219,58049965,24587794360,9140444,KSQ,의약품 제조업,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역",2022-01-24,12월,정홍걸,,강원특별자치도
2469,131180,딜리,KOSDAQ,벤처기업부,837,2,-1,-0.12,821,838,821,74446,61786592,24565950000,29350000,KSQ,컴퓨터 및 주변장치 제조업,디지털 UV 프린터,2011-01-31,12월,최근수,,경기도
2470,225590,패션플랫폼,KOSDAQ,우량기업부,920,1,2,0.22,918,923,874,71071,63963559,24505775960,26636713,KSQ,봉제의복 제조업,여성복,2015-10-05,12월,박원희,http://fashion-platform.co.kr,서울특별시
2471,291650,압타머사이언스,KOSDAQ,기술성장기업부,1442,2,-71,-4.69,1513,1513,1429,352864,511664600,24485523384,16980252,KSQ,자연과학 및 공학 연구개발업,압타머기반 신약개발 및 진단제품 개발,2020-09-16,12월,한동일,http://www.aptsci.com,경기도
