Symbol,Category,CategoryName,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap,Brand,인버스,레버리지,헤지
332610,6,채권,PLUS 미국단기회사채(AAA~A),128340,3,0,0.0,128439.0,7.2225,0,0,290,PLUS,False,False,False
271060,5,원자재,KODEX 3대농산물선물(H),8530,5,-20,-0.23,8489.0,0.9445,1684,14,289,KODEX,False,False,True
160580,5,원자재,TIGER 구리실물,11415,5,-230,-1.98,11578.0,7.924,3872,44,288,TIGER,False,False,False
394350,4,해외주식,KOSEF 글로벌퓨처모빌리티,11985,5,-120,-0.99,12062.0,20.6278,13,0,288,KOSEF,False,False,False
473590,4,해외주식,ACE 미국주식베스트셀러,18410,2,70,0.38,18270.0,39.6269,20856,383,285,ACE,False,False,False
359210,1,국내 시장지수,KODEX 코스피TR,12365,5,-35,-0.28,12386.0,-2.8214,2563,31,284,KODEX,False,False,False
354350,4,해외주식,HANARO 글로벌럭셔리S&P(합성),20275,2,110,0.55,20379.0,19.1432,3445,69,278,HANARO,False,False,False
272570,6,채권,RISE 중장기국공채액티브,109610,5,-40,-0.04,109620.0,1.6595,1,0,273,RISE,False,False,False
469160,4,해외주식,ACE 일본반도체,11295,5,-95,-0.83,11263.0,3.217,4,0,271,ACE,False,False,False
211560,2,국내 업종/테마,TIGER 배당성장,19165,2,90,0.47,19166.0,-2.0288,66,1,270,TIGER,False,False,False
395160,2,국내 업종/테마,KODEX 시스템반도체,7835,3,0,0.0,7852.0,-13.1375,6259,49,266,KODEX,False,False,False
256440,4,해외주식,ACE 인도네시아MSCI(합성),10215,2,25,0.25,10214.0,-3.7317,173,1,266,ACE,False,False,False
453650,4,해외주식,KODEX 미국S&P500금융,17565,5,-25,-0.14,17553.0,19.7494,3189,55,263,KODEX,False,False,False
367760,2,국내 업종/테마,RISE 5G테크,9500,2,110,1.17,9515.0,-9.2754,45,0,261,RISE,False,False,False
496120,1,국내 시장지수,ACE 코리아밸류업,9670,5,-20,-0.21,9700.0,,2000,19,261,ACE,False,False,False
169950,4,해외주식,KODEX 차이나A50,21750,5,-130,-0.59,22017.0,26.3644,104,2,261,KODEX,False,False,False
445150,2,국내 업종/테마,KODEX K-친환경조선해운액티브,13695,5,-130,-0.94,13708.0,16.0789,1835,25,260,KODEX,False,False,False
493420,4,해외주식,SOL 미국배당다우존스TR,10810,2,5,0.05,10796.0,,22642,244,259,SOL,False,False,False
276650,4,해외주식,RISE 글로벌테크놀로지(합성 H),32365,3,0,0.0,32161.0,11.2772,1,0,259,RISE,False,False,False
