Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
030960,양지사,KOSDAQ,중견기업부,9850,2,-270,-2.67,9710,10410,9670,621645,6202701710,157403000000,15980000,KSQ,인쇄 및 인쇄관련 산업,다이어리,1996-10-24,06월,이현,http://www.yangjisa.com,경기도
000300,대유플러스,KOSPI,,1984,0,0,0.0,0,0,0,0,0,156936737152,79101178,STK,통신 및 방송 장비 제조업,"유,무선 통신장비",1975-06-09,12월,최준용,http://www.dayouplus.co.kr,광주광역시
060590,씨티씨바이오,KOSDAQ,중견기업부,6480,1,290,4.68,6120,6510,6120,61166,387573520,156693009600,24181020,KSQ,의약품 제조업,"동물용항병원성제품, 생균효소제",2002-02-21,12월,"이민구, 조창선 (공동대표이사)",http://www.ctcbio.com,경기도
105550,엣지파운드리,KOSDAQ,중견기업부,2740,3,0,0.0,2730,2880,2480,2821181,7456654960,156666602080,57177592,KSQ,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)",2014-07-11,12월,"남용현, 박찬영(각자 대표이사)",http://www.truwin.co.kr,대전광역시
023910,대한약품,KOSDAQ,우량기업부,26100,1,450,1.75,25650,26500,25650,12011,313830650,156600000000,6000000,KSQ,의약품 제조업,수액제,1994-11-23,12월,이승영,http://www.daihan.com,서울특별시
356680,엑스게이트,KOSDAQ,벤처기업부,5470,1,230,4.39,5240,5540,5240,1939697,10550597250,156132901240,28543492,KSQ,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,2023-03-16,12월,주갑수,http://www.axgate.com,경기도
123330,제닉,KOSDAQ,벤처기업부,19560,1,2490,14.59,17080,19850,17080,313734,5964551990,155867380800,7968680,KSQ,기타 화학제품 제조업,"하이드로겔 마스크 팩, 기타화장품",2011-08-03,12월,허남,http://genic21.com,경기도
079430,현대리바트,KOSPI,,7580,1,330,4.55,7280,7590,7270,20511,153213380,155657437560,20535282,STK,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",2005-11-22,12월,윤기철,http://www.hyundailivart.co.kr,경기도
425040,티이엠씨,KOSDAQ,기술성장기업부,7290,1,490,7.21,6770,7390,6770,67567,483241980,155394091980,21316062,KSQ,기초 화학물질 제조업,반도체용 특수가스,2023-01-19,12월,유원양,http://temc.co.kr/,충청북도
425420,티에프이,KOSDAQ,벤처기업부,13650,1,820,6.39,13130,13880,13000,15371,209192490,155350650000,11381000,KSQ,전자부품 제조업,"COK, Board, Test Socket",2022-11-17,12월,문성주,http://www.tfe.co.kr,경기도
090350,노루페인트,KOSPI,,7760,1,320,4.3,7400,7800,7400,44463,342071110,155200000000,20000000,STK,기타 화학제품 제조업,페인트 제조,2006-07-03,12월,김용기,,경기도
143160,아이디스,KOSDAQ,우량기업부,14480,1,200,1.4,13930,14500,13930,15503,221010960,155173327200,10716390,KSQ,통신 및 방송 장비 제조업,"영상보안장치(DVR,NVR,IP-Camera 등)",2011-09-26,12월,김영달,http://www.idisglobal.com,대전광역시
009155,삼성전기우,KOSPI,,53300,1,3350,6.71,50400,53500,50400,11239,588619700,154942247200,2906984,STK,,,,,,,
000860,강남제비스코,KOSPI,,23800,1,700,3.03,23000,23800,23000,5931,139017550,154700000000,6500000,STK,기타 화학제품 제조업,"도료(페인트,락카,신나,에나멜,바니쉬),안료 제조,판매",1975-11-12,12월,"황익준,김재현(각자대표이사)",http://www.jevisco.com,부산광역시
078150,HB테크놀러지,KOSDAQ,우량기업부,1665,1,121,7.84,1544,1668,1544,919885,1490836984,154372000140,92715916,KSQ,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도
